"Time","Vm_Im_w"
0,-2,2e-09,0
0.002,-2,0.238175,-8.57475
0.004,-2,0.190907,-18.1985
0.006,-2,0.149381,-24.5205
0.008,-2,0.117169,-29.4195
0.01,-2,0.0921945,-33.2178
0.012,-2,0.0728306,-36.1629
0.014,-2,0.0578169,-38.4462
0.016,-2,0.0461762,-40.2167
0.018,-2,0.0371506,-41.5893
0.02,-2,0.0301528,-42.6536
0.022,-2,0.0247271,-43.4788
0.024,-2,0.0205203,-44.1186
0.026,-2,0.0172586,-44.6147
0.028,-2,0.0147297,-44.9993
0.03,-2,0.0127689,-45.2975
0.032,-2,0.0112486,-45.5287
0.034,-2,0.0100699,-45.708
0.036,-2,0.00915599,-45.847
0.038,-2,0.0084474,-45.9547
0.04,-2,0.00789799,-46.0383
0.042,-2,0.00747202,-46.1031
0.044,-2,0.00714174,-46.1533
0.046,-2,0.00688567,-46.1923
0.048,-2,0.00668712,-46.2225
0.05,-2,0.00653318,-46.2459
0.052,-2,0.00641383,-46.264
0.054,-2,0.00632128,-46.2781
0.056,-2,0.00624953,-46.289
0.058,-2,0.0061939,-46.2975
0.06,-2,0.00615077,-46.304
0.062,-2,0.00611732,-46.3091
0.064,-2,0.00609139,-46.3131
0.066,-2,0.00607129,-46.3161
0.068,-2,0.0060557,-46.3185
0.07,-2,0.00604361,-46.3203
0.072,-2,0.00603424,-46.3218
0.074,-2,0.00602698,-46.3229
0.076,-2,0.00602134,-46.3237
0.078,-2,0.00601698,-46.3244
0.08,-2,0.00601359,-46.3249
0.082,-2,0.00601097,-46.3253
0.084,-2,0.00600893,-46.3256
0.086,-2,0.00600735,-46.3258
0.088,-2,0.00600613,-46.326
0.09,-2,0.00600518,-46.3262
0.092,-2,0.00600444,-46.3263
0.094,-2,0.00600387,-46.3264
0.096,-2,0.00600343,-46.3264
0.098,-2,0.00600309,-46.3265
0.1,-2,0.00600282,-46.3265
0.102,-2,0.00600262,-46.3266
0.104,-2,0.00600246,-46.3266
0.106,-2,0.00600233,-46.3266
0.108,-2,0.00600224,-46.3266
