run,cpu_step_us,tet_running_max_us,tet_box_max_us,carga_pct,overruns,status
E3_1000,1000.000,13.297,16.044,1.604,0,running
E3_500,500.000,13.481,15.847,3.169,0,running
E3_100,100.000,16.074,16.646,16.646,0,running
E3_50,50.000,16.094,16.463,32.926,0,running
E3_10,10.000,16.817,17.023,170.230,10240,running
E3_25,25.000,16.176,16.669,66.676,0,running
E3_5,5.000,16.348,16.824,336.480,10240,running
