"Time","data"
0,7,0.00110806,0,0
0.002,7,0.966832,-0.0203601,0.00306796
0.004,7,0.92261,-0.0203601,0.00613592
0.006,7,0.903773,-0.0203601,0.00613592
0.008,7,0.898736,-0.0203601,0.0122718
0.01,7,0.894405,0,0.0184078
0.012,7,0.891484,0,0.0245437
0.014,7,0.888462,2.52191,0.0306796
0.016,7,0.886346,3.64279,0.0398835
0.018,7,0.879899,3.64279,0.0490874
0.02,7,0.879194,4.47551,0.0613592
0.022,7,0.874863,5.19431,0.0736311
0.024,7,0.872647,5.77253,0.0859029
0.026,7,0.870934,6.28886,0.0981748
0.028,7,0.868516,7.18329,0.113515
0.03,7,0.866804,7.57833,0.128854
0.032,7,0.864084,7.90556,0.147262
0.034,7,0.859148,8.5934,0.162602
0.036,7,0.85522,8.85743,0.18101
0.038,7,0.854615,9.45544,0.202485
0.04,7,0.851291,9.67387,0.220893
0.042,7,0.849377,10.1671,0.242369
0.044,7,0.846658,10.6279,0.263845
0.046,7,0.843333,10.96,0.28532
0.048,7,0.847665,11.206,0.306796
0.05,7,0.840714,11.4291,0.33134
0.052,7,0.841319,11.6625,0.355884
0.054,7,0.840815,11.9859,0.377359
0.056,7,0.839304,12.2513,0.401903
0.058,7,0.837088,12.3254,0.426447
0.06,7,0.836484,12.5187,0.454058
0.062,7,0.838196,12.6423,0.478602
0.064,7,0.835073,12.7642,0.503146
0.066,7,0.835375,12.8947,0.530757
0.068,7,0.831044,12.9672,0.555301
0.07,7,0.876273,13.0691,0.582913
0.072,7,0.833059,13.0723,0.607456
0.074,7,0.832857,13.0236,0.635068
0.076,7,0.831648,13.0756,0.659612
0.078,7,0.83467,13.0463,0.687223
0.08,7,0.834771,13.0706,0.711767
0.082,7,0.834368,13.0611,0.739379
0.084,7,0.83326,13.0075,0.763922
0.086,7,0.836584,12.9989,0.791534
0.088,7,0.835778,12.9613,0.816078
0.09,7,0.83739,12.9072,0.840621
0.092,7,0.839103,12.9344,0.868233
0.094,7,0.836987,12.9329,0.892777
0.096,7,0.836987,12.8238,0.920388
0.098,7,0.837088,12.8283,0.944932
0.1,0,0.835476,12.7706,0.969476
0.102,0,-0.0717216,11.9316,0.99402
0.104,0,-0.0694048,12.6976,1.01856
0.106,0,-0.0675916,12.2387,1.04311
0.108,0,-0.0678938,11.8392,1.06765
0.11,0,-0.0670879,11.6313,1.08913
0.112,0,-0.0658791,11.4179,1.11367
0.114,0,-0.0643681,11.1856,1.13821
0.116,0,-0.0658791,10.9762,1.15969
0.118,0,-0.0627564,10.9028,1.18117
0.12,0,-0.0614469,10.614,1.20264
0.122,0,-0.0599359,10.3845,1.22412
0.124,0,-0.0598352,10.2813,1.24252
0.126,0,-0.0600366,10.0879,1.264
0.128,0,-0.0584249,9.92489,1.28241
0.13,0,-0.057619,9.82577,1.30388
0.132,0,-0.0570147,9.68373,1.32229
0.134,0,-0.0560073,9.56828,1.3407
0.136,0,-0.0548993,9.43998,1.35911
0.138,0,-0.0532875,9.35631,1.37751
0.14,0,-0.0532875,9.1989,1.39592
0.142,0,-0.0526832,9.11379,1.41433
0.144,0,-0.0537912,8.9601,1.43274
0.146,0,-0.0515751,8.87469,1.45115
0.148,0,-0.0513736,8.74842,1.46649
0.15,0,-0.0510714,8.64654,1.48489
0.152,0,-0.0505678,8.58054,1.5033
0.154,0,-0.050467,8.47633,1.51864
0.156,0,-0.0495604,8.43893,1.53398
0.158,0,-0.0484524,8.29358,1.55239
0.16,0,-0.0485531,8.26449,1.56773
0.162,0,-0.0482509,8.19375,1.58307
0.164,0,-0.0479487,8.08282,1.60148
0.166,0,-0.0472436,8.05459,1.61682
