"Time","angle"
36.472,-0.878906
36.476,-0.878906
36.48,-0.703125
36.484,-0.703125
36.488,-0.703125
36.492,-0.703125
36.496,-0.703125
36.5,-0.703125
36.504,-0.703125
36.508,-0.703125
36.512,-0.527344
36.516,-0.527344
36.52,-0.527344
36.524,-0.527344
36.528,-0.527344
36.532,-0.527344
36.536,-0.527344
36.54,-0.351562
36.544,-0.351562
36.548,-0.351562
36.552,-0.351562
36.556,-0.351562
36.56,-0.351562
36.564,-0.175781
36.568,-0.175781
36.572,-0.175781
36.576,-0.175781
36.58,-0.175781
36.584,-0.175781
36.588,0
36.592,0
36.596,0
36.6,0
36.604,0
36.608,0.175781
36.612,0.175781
36.616,0.175781
36.62,0.175781
36.624,0.175781
36.628,0.175781
36.632,0.175781
36.636,0.351562
36.64,0.351562
36.644,0.351562
36.648,0.351562
36.652,0.351562
36.656,0.351562
36.66,0.351562
36.664,0.527344
36.668,0.527344
36.672,0.527344
36.676,0.527344
36.68,0.527344
36.684,0.527344
36.688,0.527344
36.692,0.527344
36.696,0.527344
36.7,0.527344
36.704,0.527344
36.708,0.527344
36.712,0.527344
36.716,0.527344
36.72,0.527344
36.724,0.527344
36.728,0.527344
36.732,0.527344
36.736,0.527344
36.74,0.527344
36.744,0.527344
36.748,0.527344
36.752,0.527344
36.756,0.527344
36.76,0.527344
36.764,0.527344
36.768,0.527344
36.772,0.527344
36.776,0.527344
36.78,0.527344
36.784,0.527344
36.788,0.527344
36.792,0.527344
36.796,0.351562
36.8,0.351562
36.804,0.351562
36.808,0.351562
36.812,0.351562
36.816,0.351562
36.82,0.351562
36.824,0.175781
36.828,0.175781
36.832,0.175781
36.836,0.175781
36.84,0.175781
36.844,0.175781
36.848,0
36.852,0
36.856,0
36.86,0
36.864,0
36.868,-0.175781
36.872,-0.175781
36.876,-0.175781
36.88,-0.175781
36.884,-0.175781
36.888,-0.175781
36.892,-0.175781
36.896,-0.351562
36.9,-0.351562
36.904,-0.351562
36.908,-0.351562
36.912,-0.351562
36.916,-0.351562
36.92,-0.351562
36.924,-0.527344
36.928,-0.527344
36.932,-0.527344
36.936,-0.527344
36.94,-0.527344
36.944,-0.527344
36.948,-0.527344
36.952,-0.703125
36.956,-0.703125
36.96,-0.703125
36.964,-0.703125
36.968,-0.703125
36.972,-0.703125
36.976,-0.703125
36.98,-0.703125
36.984,-0.703125
36.988,-0.703125
36.992,-0.703125
36.996,-0.703125
37,-0.878906
37.004,-0.878906
37.008,-0.878906
37.012,-0.878906
37.016,-0.703125
37.02,-0.703125
37.024,-0.703125
37.028,-0.703125
37.032,-0.703125
37.036,-0.703125
37.04,-0.703125
37.044,-0.703125
37.048,-0.703125
37.052,-0.703125
37.056,-0.703125
37.06,-0.703125
37.064,-0.703125
37.068,-0.703125
37.072,-0.703125
37.076,-0.703125
37.08,-0.527344
37.084,-0.527344
37.088,-0.527344
37.092,-0.527344
37.096,-0.527344
37.1,-0.527344
37.104,-0.527344
37.108,-0.351562
37.112,-0.351562
37.116,-0.351562
37.12,-0.351562
37.124,-0.351562
37.128,-0.351562
37.132,-0.351562
37.136,-0.175781
37.14,-0.175781
37.144,-0.175781
37.148,-0.175781
37.152,-0.175781
37.156,-0.175781
37.16,0
37.164,0
37.168,0
37.172,0
37.176,0
37.18,0
37.184,0.175781
37.188,0.175781
37.192,0.175781
37.196,0.175781
37.2,0.175781
37.204,0.175781
37.208,0.351562
37.212,0.351562
37.216,0.351562
37.22,0.351562
37.224,0.351562
37.228,0.351562
37.232,0.351562
37.236,0.351562
37.24,0.351562
37.244,0.351562
37.248,0.527344
37.252,0.527344
37.256,0.527344
37.26,0.527344
37.264,0.527344
37.268,0.527344
37.272,0.527344
37.276,0.527344
37.28,0.527344
37.284,0.527344
37.288,0.527344
37.292,0.527344
37.296,0.527344
37.3,0.527344
37.304,0.527344
37.308,0.527344
37.312,0.527344
37.316,0.527344
37.32,0.527344
37.324,0.527344
37.328,0.527344
37.332,0.527344
37.336,0.527344
37.34,0.527344
37.344,0.527344
37.348,0.527344
37.352,0.527344
37.356,0.351562
37.36,0.351562
37.364,0.351562
37.368,0.351562
37.372,0.351562
37.376,0.351562
37.38,0.175781
37.384,0.175781
37.388,0.175781
37.392,0.175781
37.396,0.175781
37.4,0.175781
37.404,0
37.408,0
37.412,0
37.416,0
37.42,0
37.424,0
37.428,-0.175781
37.432,-0.175781
37.436,-0.175781
37.44,-0.175781
37.444,-0.175781
37.448,-0.175781
37.452,-0.175781
37.456,-0.175781
37.46,-0.351562
37.464,-0.351562
37.468,-0.351562
37.472,-0.351562
37.476,-0.351562
37.48,-0.351562
37.484,-0.351562
37.488,-0.527344
37.492,-0.527344
37.496,-0.527344
37.5,-0.527344
37.504,-0.527344
37.508,-0.527344
37.512,-0.527344
37.516,-0.527344
37.52,-0.703125
37.524,-0.703125
37.528,-0.703125
37.532,-0.703125
37.536,-0.703125
37.54,-0.703125
37.544,-0.703125
37.548,-0.703125
37.552,-0.703125
37.556,-0.703125
37.56,-0.703125
37.564,-0.703125
37.568,-0.703125
37.572,-0.703125
37.576,-0.703125
37.58,-0.703125
37.584,-0.703125
37.588,-0.703125
37.592,-0.703125
37.596,-0.703125
37.6,-0.703125
37.604,-0.703125
37.608,-0.703125
37.612,-0.703125
37.616,-0.703125
37.62,-0.703125
37.624,-0.703125
37.628,-0.703125
37.632,-0.703125
37.636,-0.527344
37.64,-0.527344
37.644,-0.527344
37.648,-0.527344
